NAMES,REVIEWS,RATING
Shravan kumar neerati,"

  I'm buying tv 21 0ct19, installation complete 01nov19 ,and after 21 day tv picture not working, only sound coming very cheep quality please don't buy the TvI'm contact Amazon customer services is saying please contact #VU customer care only I'm not responsible! Is given a VU customer service number now I'm trying to VU customer care

",1.0 out of 5 stars
Amazon Customer,"

  Don't Buy !!Rubbish product and pathetic service.Within a month's time, products has got problem. It continuously restarts by itself after reaching to main screen. After multiple follow ups with customer care, got a technician visit post 3 days. And even after visit, technician not able to commit on resolution time. Says might take 3 days, might take 7 days ..depends on availability of spare part.My TV is not working for past 4 days, and don't see any resolution in near future. Pathetic service and attitude of technician.

",1.0 out of 5 stars
Liju,"

  I'll address the Amazon PrimeVideo problem first and it's solution. Initially the registration of device was not happening it's a software issue.Solution: Update the TV software. Settings-Device Preferences-About-System update. After its done prime video will work for most but I had trouble even after update. Then I did a reset (last option in Device Preferences) and it solved my issue. Hope this will help others. Picture, Audio and overall performance is great and great value for money. The customer care side of VuTv needs improvement.

",5.0 out of 5 stars
Aditya Jain,"

  Totally manufactured in China.. Company owner is Indian, company is in California... But product is totally made in China... Tried returning this but unable to do so..

",1.0 out of 5 stars
MISA,"

  Defective product delivered in exchange offer against a perfectly working LED, now its more than 15 days and no return or better alternative provided despite complaining on next day after delivery.

",1.0 out of 5 stars
Amzon Customer,"

  Product is ok but installation is worse, we have waited for more then 20 days but still installation hasn't been done. Amazon is also washing there hands by saying to contact vendor. Atlast we need to do it myself.

",1.0 out of 5 stars
Naushad Ansari,"

  Initially i had problem with prime video but now its working like everything.For users having issue with amazon prime, they need to reset their tv....Thats all.After trying all methods available, customer service asked me to reset the tv and its worked.Just go to setting------device preference-----reset.Remember do not signin with your Google account ( you can do later after prime registration done successfully).Picture quality is superp and videos are sharp and well balanced. Dolby atmos really works and sound is loud enough for my room. Sound is enough even at at 25 - 30 percentage.Impressed with the built quality, easy to setup.Best tv in this budget with Android 9 and with amazon prime support.Customer support is also very quick.I opted this against mi tv and i am happy with my decision.

",5.0 out of 5 stars
Naresh,"

  Sound quality is not good

",3.0 out of 5 stars
Jayachandran M,"

  Worst product

",1.0 out of 5 stars
njamdar,"

  After 2 days of installation date. My TV doesn't working. Unacceptable issue

",1.0 out of 5 stars
manish,"

  Bought this TV for my parents (mainly).Best Display in this segment (for those who watch SD channels)Speakers are good (no need to buy external sound system unless you are sound freak)Only 45 watts of power (energy saving)Android 9 (for my use)(Note : i am writing this on installation day. I will review after 4 months of use)

",5.0 out of 5 stars
Rohit gulati,"

  For all those whose in built Ch'cast isn't working just change country from USA to India.About the tv. At third of a price compared to known brands with similar features, you simply get what you pay for.Absence of a voice remote irks but considering the performance of the Google app you might as well not have it.Picture is blindingly super bright. I have no idea why the emphasis on bright by all brands. You aren't going to use this in sunlight ... DuhOn the brighter side (no pun there lol) the colours produced are very accurate.A piece of advice. Don't judge it by the dth performance. Judge it by playing some good online content. Colours are generally warm and well, getting adjusted from a pana tv the motion seems jerky to me.Sound is loud enough but at times the speakers can't handle the bass and distortion is more than evident.OS is stock android. And well, stock Android always works best, in my opinion that is.Looks... Really nice. It looks really nice, for the price , yes pretty much.Quality... For starters have a look at the picture shared there is something actually sticking out on the left bottom part of the screen ROFL. Although if this tv lasts 4-5 years I'll feel I have my money's worth.

",4.0 out of 5 stars
Amazon Customer,"

  Picture quality is too bad, I am stuck with Bad quality TV, if you have ever watched videocon/lg/song/samsung tv, then you will be dissappointed with this.

",1.0 out of 5 stars
Manoj Ragunathan,"

  Sound quality is very poor,Performance very slow.Every application opening is very slow.Better price availableCustomer service is also bad,I have been asked for a refund for this item to buy a new tv different brand with same amazon, they are not tends to customer point of view.Worst service from amazon

",1.0 out of 5 stars
Gzoner,"

  This is an Amazon flagship product but dorsnt support Amazon prime video login and could see white clouding on the edges of the screen..

",2.0 out of 5 stars
Ritz,"

  This TV has multiple issues. One needs to keep following up with customer service without any response. Bought it 5 days ago.1. Constant system sound i.e. sound from the left right up down plus clicks is too annoying and there is no way it can be stopped.2. Picture mode and sound mode buttons on remote so not work in tv mode.3. TV remote response is slow and lags. Booting takes significant time as wellComplaint raised but no updates so far. They accepted that these are the issues but that's how it is and no way out.4. Cant return so you have to bear the 20k spent.5. Picture quality is good.6. Sound is loud but not clear and we end up putting it on very high volume.7. Not user-friendly and not many apps on the Play Store. Not sure why they named it ultra android when there is nothing special about this android tv.6. Colours fade when viewed from sides.I will update with other issues if found. Believe me I don't see any features in this tv apart from dedicated buttons on remote for few apps which will be useless if you have hdmi streaming and you can use voice search on jio, firestick etc

",3.0 out of 5 stars
PANKAJ,"

  I got this TV in mid month of July and on very second day I reported that the speaker sound is very noisy n breaking.They said someone will visit for inspection but no one came here until 29th n kept rescheduling appointment without my consent.Later inspection happened n guy went without informing the further procedure.Called amazon 4 times they everytime asked for several details n put me on hold and then they disconnect.Worst experience.. Don't buy from Amazon and don't buy VU

",1.0 out of 5 stars
